  121168,   121879, 2
  141604,   141693, 2
  150499,   150499, 2
  151569,   152305, 2
  152305,   170325, 2
  172896,   183625, 2
  183625,   185174, 2
  185174,   196426, 2
  204935,   205263, 2
  208202,   216829, 2
  216829,   217928, 2
  235907,   246538, 2
  249953,   250199, 2
  270438,   270726, 2
  270726,   279910, 2
  279910,   281114, 2
  299868,   300169, 2
  308609,   308609, 2
  308975,   310577, 2
  310577,   325961, 2
  329034,   329288, 2
  343264,   343595, 2
  343595,   352027, 2
  352027,   352392, 2
  352392,   353899, 2
  353899,   364026, 2
  368599,   368988, 2
  389031,   389163, 2
  428706,   428754, 2
  428754,   429489, 2
  429489,   442548, 2
  443717,   443901, 2
  454909,   454909, 2
  455784,   455784, 2
  456520,   456520, 2
  476219,   476339, 2
  476339,   478904, 2
  480631,   495302, 2
  495302,   504854, 2
  504854,   507324, 2
  512075,   512140, 2
  512140,   514793, 2
  530695,   531295, 2
  531295,   532710, 2
  543472,   544085, 2
  549530,   549587, 2
  549587,   560081, 2
  565432,   565539, 2
  568679,   568966, 2
  568966,   577040, 2
  577040,   580656, 2
  581012,   581012, 2
  582418,   592298, 2
  592298,   593270, 2
  600330,   600600, 2
  606107,   606107, 2
  613211,   614058, 2
  620668,   621013, 2
  630381,   630381, 2
  649877,   650188, 2
  650188,   660244, 2
  664820,   665147, 2
  685461,   685705, 2
  694499,   694499, 2
  701051,   714894, 2
  772187,   772193, 2
  795560,   807673, 2
  808818,   808818, 2
  809553,   809553, 2
  818934,   818934, 2
  822744,   822744, 2
  834232,   834500, 2
  851452,   851742, 2
  894300,   894492, 2
  894492,   903296, 2
  903296,   904424, 2
  911245,   911397, 2
  919846,   919846, 2
  925761,   925912, 2
  934721,   934721, 2
  935086,   936525, 2
  936525,   952638, 2
  952638,   961069, 2
  961069,   963508, 2
  963509,   964204, 2
  964204,   966170, 2
  967386,   967498, 2
  978507,   978507, 2
  985097,   985279, 2
 1044738,  1044814, 2
 1045919,  1045919, 2
 1055133,  1056225, 2
 1056225,  1065556, 2
 1160728,  1169900, 2
 1171625,  1180445, 2
 1199595,  1199885, 2
 1199885,  1210976, 2
